timestamp,model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
2025-12-23T17:20:28.952625,GCN,0,0,64,2,1,0.0,0.001,0.0,0.5192850881464888,0.2987186461473812,0.9609915262491477,1.9215447550404208,1.3861979494431598,0.5180423666910153,0.2980762287761851,0.9636230825420015,1.9269539810080352,1.3881476798266226,0.5184665731650304,0.2978522521562462,0.9627357020414524,1.9251402524544179,1.387494235106733
2025-12-23T17:20:29.303269,GCN,0,1,64,2,1,0.0,0.001,0.0,0.5404329404889452,0.5399145644489792,0.9191341190221096,1.8382682380442192,1.3558275104319941,0.5460433406379352,0.5455922488948213,0.9079133187241295,1.815826637448259,1.3475261175384539,0.5392512077294686,0.538767190703679,0.9214975845410628,1.8429951690821256,1.3575695816723818
2025-12-23T17:20:29.514762,GCN,0,2,64,2,1,0.0,0.001,0.0,0.49285949085065195,0.4261330889833598,1.014281018298696,2.028562036597392,1.424275969255043,0.490236182128074,0.28313720866015674,1.0194789383978573,2.03890917944972,1.4279037710748297,0.48984123892081427,0.42345079954674575,1.0203175221583716,2.040635044316743,1.4285079783875003
2025-12-23T17:20:29.772928,GCN,1,0,64,2,1,0.0,0.001,0.0005,0.5189807149118535,0.3446408570945956,0.9620142203175222,1.9240040907762734,1.3870847453476927,0.5178475773070368,0.3435889222694093,0.9642561480399319,1.928463598733869,1.388691325937434,0.5177458313853825,0.3435898959068944,0.9644888577216768,1.9289582359357955,1.3888694092447265
2025-12-23T17:20:29.984404,GCN,1,1,64,2,1,0.0,0.001,0.0005,0.5141107431576897,0.4780793983735524,0.9717785136846206,1.9435570273692413,1.3941151413600101,0.5113708302897492,0.4737723108709069,0.9772583394205016,1.954516678841003,1.3980402994338192,0.5136746143057503,0.3181890543844806,0.9726312918809412,1.9452431042543243,1.3947197224726997
2025-12-23T17:20:30.230494,GCN,1,2,64,2,1,0.0,0.001,0.0005,0.5079562194869547,0.48867973715876734,0.9840875610260905,1.968175122052181,1.4029166482910456,0.5030922814706599,0.4824926705013111,0.9938154370586803,1.9876308741173605,1.4098336334892,0.50861985000487,0.4889143424652599,0.98276029999026,1.96552059998052,1.4019702564535812
2025-12-23T17:20:30.580040,GCN,2,0,64,2,1,0.0,0.0003,0.0,0.5117366319275348,0.3245348086954866,0.9714010908736729,1.9376765364760884,1.3920045030372885,0.5129291453615777,0.3253611398666105,0.9698563428293158,1.935427319211103,1.3911963625639274,0.5142589995324918,0.3265043814132346,0.9663199314321333,1.9274777933613838,1.3883363401429005
2025-12-23T17:20:30.927642,GCN,2,1,64,2,1,0.0,0.0003,0.0,0.5223409954222266,0.3472561052491591,0.9435935521573975,1.8754626473166456,1.36947531825756,0.519308497686876,0.3451394583366582,0.9495982468955442,1.8874117360603848,1.3738310434912966,0.5240377123266324,0.34838852123361824,0.940314788842138,1.8690197911796789,1.3671209862991933
2025-12-23T17:20:31.273261,GCN,2,2,64,2,1,0.0,0.0003,0.0,0.5183047834715171,0.3024025991190757,0.9458952725324762,1.8742953845404628,1.3690490803986768,0.5162405648892135,0.30144307534300535,0.9497930362795227,1.8818602386169954,1.371809111581125,0.5147754943021331,0.2994040805509348,0.9530729521768774,1.8887698451348982,1.3743252326632507
2025-12-23T17:20:31.505983,GCN,3,0,64,2,1,0.0,0.0003,0.0005,0.5303764488165968,0.3531971097882505,0.938674880685692,1.8767775396902697,1.3699553057272598,0.526418310202094,0.3505909312721416,0.9466764061358656,1.8928658388117847,1.3758146091722476,0.5297062490260246,0.352821890317284,0.9398278011531869,1.8788959015116098,1.3707282376574905
2025-12-23T17:20:31.850040,GCN,3,1,64,2,1,0.0,0.0003,0.0005,0.4937177364371287,0.229090872382833,0.9928411415213791,1.9659588974383948,1.4021265625607393,0.4931580228877526,0.22959996192220256,0.9925980034088142,1.964110056001948,1.4014671084267187,0.49361072152095997,0.22964492159899744,0.9921497584541062,1.9636707184042388,1.4013103576311134
2025-12-23T17:20:32.199055,GCN,3,2,64,2,1,0.0,0.0003,0.0005,0.5243678244883548,0.34667276644991335,0.9500712224697762,1.898949316386038,1.3780236995008606,0.5225225225225225,0.3449877695733581,0.9541757974190407,1.907572437302167,1.3811489555084806,0.5259764293367098,0.34776302150480615,0.9468588682185644,1.8925294633291128,1.3756923578071927
2025-12-23T17:20:32.432908,GCN,4,0,64,2,1,0.3,0.001,0.0,0.5263465471900263,0.5035845093454402,0.9473069056199475,1.894613811239895,1.3764497125721284,0.5233990747504261,0.5014150473175932,0.9532018504991479,1.9064037009982957,1.3807257877646437,0.522713105812685,0.4990381606645048,0.9545737883746299,1.9091475767492598,1.3817190657833667
2025-12-23T17:20:32.726662,GCN,4,1,64,2,1,0.3,0.001,0.0,0.5292563553131392,0.4954971877482264,0.9414872893737216,1.8829745787474432,1.3722152086124986,0.5233016800584368,0.48936335227269046,0.9533966398831264,1.9067932797662528,1.380866858088155,0.5257324294841826,0.49113914983622453,0.9485351410316347,1.8970702820632694,1.3773417448343275
2025-12-23T17:20:32.913011,GCN,4,2,64,2,1,0.3,0.001,0.0,0.5323544809282054,0.32900016824186756,0.9350110181769483,1.8697420163872553,1.3673851017132135,0.5319211102994886,0.328717638669727,0.9355247139030923,1.8704163623082541,1.3676316617818753,0.5305736826726405,0.3276476542903552,0.9385604363494692,1.8768286743936886,1.3699739685095074
