model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
GCN,87,0,128,3,1,0.3,0.0003,0.0005,0.508948573098276,0.3946289920872197,0.982102853803448,1.964205707606896,1.401501233537415,0.5065497930362796,0.39153472294065494,0.986900413927441,1.973800827854882,1.4049202211708969,0.5062918809412498,0.3917288311646322,0.9874162381175003,1.9748324762350007,1.405287328710752
GCN,87,1,128,3,1,0.3,0.0003,0.0005,0.5345646245251777,0.4947797664571739,0.9308707509496444,1.8617415018992889,1.3644564858943977,0.5377160944728512,0.4986830702810629,0.9245678110542975,1.849135622108595,1.3598292621166066,0.539796633941094,0.5005591418909013,0.9204067321178121,1.8408134642356242,1.3567658103871958
GCN,87,2,128,3,1,0.3,0.0003,0.0005,0.5303943411617176,0.5284375835377184,0.9392113176765647,1.8784226353531295,1.3705555936747438,0.528463598733869,0.5264772535879533,0.943072802532262,1.886145605064524,1.3733701631623296,0.530885360864907,0.5288245645689185,0.938229278270186,1.876458556540372,1.369838879773958
GCN,88,0,128,3,1,0.0,0.001,0.0,0.5934912827505601,0.5908967802249953,0.8130174344988799,1.6260348689977597,1.2751607228101718,0.5861699537375213,0.5838201940916684,0.8276600925249574,1.6553201850499148,1.2865924704621565,0.5851644070437899,0.5825456228245673,0.8296711859124202,1.6593423718248403,1.288154638164549
GCN,88,1,128,3,1,0.0,0.001,0.0,0.5298772767117951,0.49772865246922393,0.9402454465764098,1.8804908931528197,1.3713099187101432,0.5296810323837351,0.4968569132281452,0.9406379352325298,1.8812758704650596,1.3715961032552766,0.5243688639551192,0.4915901448294152,0.9512622720897616,1.902524544179523,1.3793203196428026
GCN,88,2,128,3,1,0.0,0.001,0.0,0.5867514031435285,0.5814383922316351,0.8264971937129431,1.6529943874258861,1.2856882932600289,0.5844168492817141,0.5787632407644412,0.8311663014365717,1.6623326028731433,1.289314780367131,0.5838511736631927,0.5781767594901259,0.8322976526736144,1.6645953053472289,1.2901919645336615
GCN,89,0,128,3,1,0.0,0.001,0.0005,0.5328357845524496,0.49866009571262415,0.9343284308951008,1.8686568617902015,1.3669882449349011,0.5338690041392744,0.49985771361659315,0.9322619917214512,1.8645239834429024,1.3654757352083933,0.5334463144771701,0.4994702204212875,0.93310737104566,1.86621474209132,1.366094704656789
GCN,89,1,128,3,1,0.0,0.001,0.0005,0.5711015876107919,0.5636464367812763,0.8577968247784162,1.7155936495568325,1.3098067222139427,0.5693693693693693,0.5612469856555378,0.8612612612612612,1.7225225225225225,1.3124490552103432,0.5694054854293283,0.5619234188524379,0.8611890291413433,1.7223780582826866,1.3123940179239948
GCN,89,2,128,3,1,0.0,0.001,0.0005,0.5813701498715561,0.5805769227594912,0.8372597002568879,1.6745194005137758,1.294032225454133,0.5794984173362552,0.5786154494639857,0.8410031653274896,1.6820063306549793,1.2969218675984222,0.5789422421349956,0.5779556571424262,0.8421155157300088,1.6842310314600175,1.2977792691594427
GCN,90,0,128,3,1,0.0,0.0003,0.0,0.5547993571637284,0.5524863392143153,0.8904012856725431,1.7808025713450861,1.334467148844469,0.5486242999756513,0.5465346176395576,0.9027514000486974,1.8055028000973947,1.3436899940452762,0.5520297646875487,0.5496561019312691,0.8959404706249026,1.7918809412498051,1.338611572208236
GCN,90,1,128,3,1,0.0,0.0003,0.0,0.5235097886432258,0.49926600052161063,0.9529804227135482,1.9059608454270964,1.3805654078771843,0.5188702215729243,0.4946567859217318,0.9622595568541514,1.9245191137083029,1.387270382336588,0.5224209131993143,0.49880715733687825,0.9551581736013713,1.9103163472027427,1.382141941771084
GCN,90,2,128,3,1,0.0,0.0003,0.0,0.5197535824293559,0.46486777694305637,0.9604928351412884,1.9209856702825767,1.3859962735457036,0.5225712198685172,0.4680719418082814,0.9548575602629656,1.9097151205259313,1.3819244264886308,0.5229570468491282,0.46639085722558205,0.9540859063017435,1.908171812603487,1.3813659227748045
GCN,91,0,128,3,1,0.0,0.0003,0.0005,0.5167892276224798,0.42564894559642974,0.9664215447550404,1.9328430895100808,1.3902672726889893,0.5161431701972242,0.4267536796469368,0.9677136596055514,1.935427319211103,1.3911963625639274,0.5169082125603864,0.4262320520671764,0.966183574879227,1.932367149758454,1.3900960937138318
GCN,91,1,128,3,1,0.0,0.0003,0.0005,0.5518530242524593,0.5429096918293047,0.8962939514950813,1.7925879029901626,1.338875611470372,0.556172388604821,0.5482048826898838,0.8876552227903579,1.7753104455807158,1.332407762503925,0.5529842605578931,0.5444956489416504,0.8940314788842139,1.7880629577684277,1.3371847134066512
GCN,91,2,128,3,1,0.0,0.0003,0.0005,0.5273506458721404,0.5210956833135312,0.9452987082557192,1.8905974165114383,1.374989969603938,0.5309958607255905,0.5253480268642737,0.9380082785488191,1.8760165570976381,1.3696775376334527,0.5247881562286939,0.5183612243343674,0.9504236875426123,1.9008473750852246,1.3787122161949623
GCN,92,0,128,3,1,0.3,0.001,0.0,0.5538862374598227,0.5271409693195989,0.8922275250803545,1.784455050160709,1.3358349636690563,0.5519844168492817,0.5254126429577539,0.8960311663014365,1.792062332602873,1.3386793240365196,0.5510752688172043,0.5243898377381673,0.8978494623655914,1.7956989247311828,1.3400369117047422
GCN,92,1,128,3,1,0.3,0.001,0.0,0.574108795168988,0.5690131746790685,0.851782409662024,1.703564819324048,1.3052068109399553,0.5700998295592891,0.5650668574915657,0.859800340881422,1.719600681762844,1.3113354573726907,0.5701457067165342,0.5650156839910969,0.8597085865669316,1.7194171731338632,1.3112654853742864
GCN,92,2,128,3,1,0.3,0.001,0.0,0.5311857019370076,0.4838247700631941,0.9376285961259846,1.8752571922519692,1.3694003038746447,0.5288531775018261,0.4828275227723867,0.9422936449963477,1.8845872899926954,1.3728027134270588,0.5294828089997078,0.4815368257655446,0.9410343820005844,1.8820687640011688,1.3718851132661105
GCN,93,0,128,3,1,0.3,0.001,0.0005,0.5407981883705074,0.48379173048763474,0.9184036232589851,1.8368072465179701,1.3552886211128499,0.5319211102994886,0.472871081176495,0.9361577794010226,1.8723155588020453,1.368325823333772,0.5433419043166589,0.48673118879559896,0.9133161913666823,1.8266323827333646,1.35152964552516
