model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,2,16,2,0.01,114035.0703125,293.6064453125,337.6907909797068
GAT,0,2,16,2,0.1,17.147825241088867,3.883119821548462,4.140993267452734
GAT,0,2,16,2,0.001,73.90103149414062,4.64284086227417,8.596570914855564
GAT,0,2,16,4,0.01,11467694.0,2948.708251953125,3386.398381761957
GAT,0,2,16,4,0.1,26.272565841674805,4.919691562652588,5.125677110555717
GAT,0,2,16,4,0.001,3636617.25,1659.7935791015625,1906.9916753882278
GAT,0,2,16,8,0.01,1488107.375,1062.0416259765625,1219.880065826145
GAT,0,2,16,8,0.1,38.82257843017578,6.062455654144287,6.230776711628798
GAT,0,2,16,8,0.001,958111.125,853.88330078125,978.8315100158965
GAT,0,2,32,2,0.01,41142804.0,5588.35302734375,6414.265663347598
GAT,0,2,32,2,0.1,3.545009136199951,1.6972873210906982,1.882819464579637
GAT,0,2,32,2,0.001,10015796.0,2759.09228515625,3164.7742415534162
GAT,0,2,32,4,0.01,11782036.0,2990.85009765625,3432.497050253649
GAT,0,2,32,4,0.1,2.4085276126861572,1.436624526977539,1.5519431731497637
GAT,0,2,32,4,0.001,6654759.5,2247.209228515625,2579.682054052398
GAT,0,2,32,8,0.01,1169339.875,942.8424072265625,1081.3601966967344
GAT,0,2,32,8,0.1,210.2728271484375,14.429261207580566,14.500787121685413
GAT,0,2,32,8,0.001,3338623.75,1592.771484375,1827.1901242071117
GAT,0,2,64,2,0.01,1155967.25,936.9503173828125,1075.1591742621183
GAT,0,2,64,2,0.1,7.588550567626953,2.533153533935547,2.7547323949209575
GAT,0,2,64,2,0.001,8097734.5,2476.619384765625,2845.651858537864
GAT,0,2,64,4,0.01,1372127.75,1020.9805908203125,1171.3785681836594
GAT,0,2,64,4,0.1,15.344200134277344,3.643486738204956,3.917167361024717
GAT,0,2,64,4,0.001,15005771.0,3372.243408203125,3873.7283074578168
GAT,0,2,64,8,0.01,1030135.75,883.1161499023438,1014.9560335305171
GAT,0,2,64,8,0.1,171.74786376953125,13.02607536315918,13.105260919551784
GAT,0,2,64,8,0.001,39012884.0,5439.97509765625,6246.029458784196
GAT,0,3,16,2,0.01,1131000.5,925.7174682617188,1063.4850727678315
GAT,0,3,16,2,0.1,8500.1728515625,81.2878189086914,92.1963819873779
GAT,0,3,16,2,0.001,4820269.0,1911.8109130859375,2195.511102226541
GAT,0,3,16,4,0.01,2060353.5,1251.607177734375,1435.3931517183717
GAT,0,3,16,4,0.1,2.0692315101623535,1.2278209924697876,1.4384823635214836
GAT,0,3,16,4,0.001,9449737.0,2676.043701171875,3074.04245253705
GAT,0,3,16,8,0.01,28138.70703125,145.1055145263672,167.74595980604124
GAT,0,3,16,8,0.1,2.069304943084717,1.233282446861267,1.4385078877380955
GAT,0,3,16,8,0.001,1232548.5,967.2474975585938,1110.2020086452735
GAT,0,3,32,2,0.01,7171333.5,2332.970947265625,2677.9345585730807
GAT,0,3,32,2,0.1,2.0758090019226074,1.2585760354995728,1.4407668103904279
GAT,0,3,32,2,0.001,4869777.0,1922.21533203125,2206.7571230201115
GAT,0,3,32,4,0.01,4559479.0,1860.3475341796875,2135.293656619623
GAT,0,3,32,4,0.1,2.302543878555298,1.0581183433532715,1.517413548956018
GAT,0,3,32,4,0.001,2171678.75,1282.982666015625,1473.6616809838004
GAT,0,3,32,8,0.01,31855.923828125,154.50230407714844,178.4822787509309
