model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,2,32,2,0.001,903408.0,830.433349609375,950.4777745954926
GAT,0,2,32,2,0.01,2538953.0,1390.4805908203125,1593.4092380804123
GAT,0,2,32,2,0.1,15.47096061706543,3.660841226577759,3.9333142026877828
GAT,0,2,32,4,0.001,1327696.125,1003.5106201171875,1152.2569700375
GAT,0,2,32,4,0.01,1615360.125,1107.7080078125,1270.9681841021827
GAT,0,2,32,4,0.1,45.8050422668457,6.613307952880859,6.767942247599761
GAT,0,2,32,8,0.001,25474600.0,4397.515625,5047.236867831744
GAT,0,2,32,8,0.01,1692610.0,1134.1845703125,1301.0034588731885
GAT,0,2,32,8,0.1,2.9184539318084717,1.0782088041305542,1.7083483051791493
GAT,0,2,64,2,0.001,1273036.0,983.4172973632812,1128.2889700781445
GAT,0,2,64,2,0.01,140949.4375,327.4962158203125,375.4323341162825
GAT,0,2,64,2,0.1,5.6927080154418945,2.2047173976898193,2.385939650419074
GAT,0,2,64,4,0.001,6869177.0,2283.429443359375,2620.9114826716295
GAT,0,2,64,4,0.01,2448791.0,1364.0377197265625,1564.8613357099728
GAT,0,2,64,4,0.1,3.9546308517456055,1.813904047012329,1.9886253673695318
GAT,0,2,64,8,0.001,201549.53125,391.3525695800781,448.94268147504084
GAT,0,2,64,8,0.01,3170904.0,1551.6689453125,1780.7032318721724
GAT,0,2,64,8,0.1,255.49098205566406,15.91922664642334,15.984085274286548
GAT,0,2,128,2,0.001,5526160.0,2048.386962890625,2350.7785944235584
GAT,0,2,128,2,0.01,441923.34375,579.8163452148438,664.7731520977663
GAT,0,2,128,2,0.1,81.5450668334961,8.914923667907715,9.030230718730063
GAT,0,2,128,4,0.001,23369230.0,4210.5419921875,4834.1731454303535
GAT,0,2,128,4,0.01,90083.0546875,260.507080078125,300.138392558333
GAT,0,2,128,4,0.1,175.66030883789062,13.175395965576172,13.253690385620551
GAT,0,2,128,8,0.001,61623540.0,6837.96875,7850.066241758728
GAT,0,2,128,8,0.01,39548.42578125,171.96832275390625,198.86786010124914
GAT,0,2,128,8,0.1,277.3780517578125,16.59243392944336,16.654670568876842
GAT,0,3,32,2,0.001,2353733.75,1335.7548828125,1534.1883033056927
GAT,0,3,32,2,0.01,10771.5361328125,89.44703674316406,103.78601125784004
GAT,0,3,32,2,0.1,2.087078332901001,1.1822148561477661,1.4446723963933834
GAT,0,3,32,4,0.001,710463.125,734.6347045898438,842.8897466454317
GAT,0,3,32,4,0.01,89.89851379394531,8.963688850402832,9.48148267909325
GAT,0,3,32,4,0.1,2.0728039741516113,1.2510199546813965,1.4397235756045712
GAT,0,3,32,8,0.001,7438710.5,2374.51171875,2727.3999523355574
GAT,0,3,32,8,0.01,689216.125,722.277587890625,830.190414904918
GAT,0,3,32,8,0.1,2.0694727897644043,1.2238777875900269,1.438566227104058
GAT,0,3,64,2,0.001,1333619.125,1006.2035522460938,1154.8242831703878
GAT,0,3,64,2,0.01,62136.09375,218.22447204589844,249.2711249824175
GAT,0,3,64,2,0.1,2.069279670715332,1.232808232307434,1.4384991034808927
GAT,0,3,64,4,0.001,1230622.5,966.73828125,1109.3342598153183
GAT,0,3,64,4,0.01,440915.40625,577.2252807617188,664.0146129792627
GAT,0,3,64,4,0.1,2.069287061691284,1.2264593839645386,1.4385016724673225
GAT,0,3,64,8,0.001,2776971.0,1450.8861083984375,1666.4246157567404
GAT,0,3,64,8,0.01,60970.86328125,216.02969360351562,246.92278809629946
GAT,0,3,64,8,0.1,2.0702459812164307,1.218238115310669,1.438834938836429
GAT,0,3,128,2,0.001,832109.25,793.4133911132812,912.2002247313909
GAT,0,3,128,2,0.01,15870.6591796875,110.72850036621094,125.9788044858638
GAT,0,3,128,2,0.1,2.0999083518981934,1.1674624681472778,1.4491060526746113
GAT,0,3,128,4,0.001,1465712.0,1053.7315673828125,1210.6659324520535
GAT,0,3,128,4,0.01,1345440.0,1009.2308959960938,1159.9310324325322
GAT,0,3,128,4,0.1,2.15677809715271,1.3348249197006226,1.4685973230101947
GAT,0,3,128,8,0.001,4917102.0,1932.140625,2217.4539454067585
GAT,0,3,128,8,0.01,415056.375,560.1444702148438,644.2486903362707
GAT,0,3,128,8,0.1,486965608448.0,607756.9375,697829.2115181192
GAT,0,4,32,2,0.001,253122.609375,437.3401184082031,503.112919109617
GAT,0,4,32,2,0.01,59565.3984375,213.5982208251953,244.0602352647805
GAT,0,4,32,2,0.1,2.0693602561950684,1.2252612113952637,1.438527113472342
GAT,0,4,32,4,0.001,87629.46875,257.144775390625,296.02275039260076
GAT,0,4,32,4,0.01,686302.375,720.5587768554688,828.4336877505647
GAT,0,4,32,4,0.1,2.1351089477539062,1.1385151147842407,1.4612012002985442
GAT,0,4,32,8,0.001,478296.53125,603.3331298828125,691.5898576830057
GAT,0,4,32,8,0.01,145668.4375,333.3095397949219,381.6653475231934
GAT,0,4,32,8,0.1,2.0770998001098633,1.1981414556503296,1.4412146960497811
GAT,0,4,64,2,0.001,156716.703125,343.6059265136719,395.874605304508
GAT,0,4,64,2,0.01,137136.265625,323.364013671875,370.31914023582414
GAT,0,4,64,2,0.1,2.109809398651123,1.3012852668762207,1.4525182954617553
GAT,0,4,64,4,0.001,68454.1796875,226.9229278564453,261.6374967153982
GAT,0,4,64,4,0.01,294263.78125,471.5932312011719,542.46085688278
GAT,0,4,64,4,0.1,12.998421669006348,3.305936574935913,3.6053323936922026
GAT,0,4,64,8,0.001,32351.265625,157.55889892578125,179.86457579245558
GAT,0,4,64,8,0.01,213380.84375,401.34814453125,461.9316440232256
GAT,0,4,64,8,0.1,1973.0181884765625,44.39537048339844,44.41866936859503
GAT,0,4,128,2,0.001,401779.0625,550.775146484375,633.8604440253391
GAT,0,4,128,2,0.01,168627.359375,356.69793701171875,410.6426175824911
GAT,0,4,128,2,0.1,2.293858766555786,1.0613418817520142,1.5145490307533085
GAT,0,4,128,4,0.001,340688.25,507.4236145019531,583.6850606277327
GAT,0,4,128,4,0.01,8096.544921875,79.23761749267578,89.98080307418356
GAT,0,4,128,4,0.1,2.0697531700134277,1.238034725189209,1.4386636750865116
GAT,0,4,128,8,0.001,13662.6484375,100.82241821289062,116.8873322370735
GAT,0,4,128,8,0.01,497234.28125,613.2000122070312,705.1484107973299
GAT,0,4,128,8,0.1,1.8595017614761656e+19,3755465216.0,4312194060.424653
