model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,2,128,2,0.001,10682281.0,2845.564208984375,3268.375896374222
GAT,0,2,128,2,0.01,280434.5,462.0834655761719,529.5606669683842
GAT,0,2,128,4,0.001,25014872.0,4357.49072265625,5001.486978889378
GAT,0,2,128,4,0.01,4834.66552734375,61.367313385009766,69.5317591273495
GAT,0,2,256,2,0.001,18062424.0,3701.906005859375,4249.991058814124
GAT,0,2,256,2,0.01,271498.1875,452.8187255859375,521.0548795472507
GAT,0,2,256,4,0.001,39005344.0,5438.2978515625,6245.425846169339
GAT,0,2,256,4,0.01,1051.1500244140625,29.15985679626465,32.4214438977363
GAT,0,3,128,2,0.001,938749.0,843.271240234375,968.8906026998094
GAT,0,3,128,2,0.01,2493237.5,1376.3485107421875,1578.998891703221
GAT,0,3,128,4,0.001,1464028.625,1054.8560791015625,1209.970505838882
GAT,0,3,128,4,0.01,685402.5625,721.95654296875,827.8904290423944
GAT,0,3,256,2,0.001,1613156.25,1106.6666259765625,1270.100881820023
GAT,0,3,256,2,0.01,668580.9375,713.152587890625,817.6679873273748
GAT,0,3,256,4,0.001,300179.71875,476.1564025878906,547.886592964274
GAT,0,3,256,4,0.01,163.213134765625,11.902047157287598,12.775489609624556
GAT,1,2,128,2,0.001,4370320.0,1820.789306640625,2090.5310330152956
GAT,1,2,128,2,0.01,15443782.0,3417.87109375,3929.857758240112
GAT,1,2,128,4,0.001,21834688.0,4063.707763671875,4672.760212123023
GAT,1,2,128,4,0.01,73646.5859375,235.3021697998047,271.37904476488234
GAT,1,2,256,2,0.001,486258.625,605.4197998046875,697.3224684462706
GAT,1,2,256,2,0.01,12070314.0,3019.8037109375,3474.2357432966464
GAT,1,2,256,4,0.001,97925720.0,8603.166015625,9895.742518881541
GAT,1,2,256,4,0.01,69868.3828125,230.7660675048828,264.3262809720214
GAT,1,3,128,2,0.001,6133637.0,2152.73291015625,2476.618056947821
GAT,1,3,128,2,0.01,1542.2650146484375,35.14540481567383,39.271682095989185
GAT,1,3,128,4,0.001,2320605.0,1325.738525390625,1523.3532092065846
GAT,1,3,128,4,0.01,670691.0,711.2757568359375,818.9572638422594
GAT,1,3,256,2,0.001,175305.21875,363.0089111328125,418.6946605224385
GAT,1,3,256,2,0.01,132096.1875,316.8638916015625,363.45039207572745
GAT,1,3,256,4,0.001,680783.3125,716.3065185546875,825.0959413910603
GAT,1,3,256,4,0.01,1653546.125,1119.0418701171875,1285.9028443082316
GAT,2,2,128,2,0.001,716770.9375,733.5531005859375,846.6232559409174
GAT,2,2,128,2,0.01,1967082.75,1218.0205078125,1402.527272462108
GAT,2,2,128,4,0.001,25587806.0,4389.20263671875,5058.439087307467
GAT,2,2,128,4,0.01,33090.23828125,157.08006286621094,181.90722437893993
GAT,2,2,256,2,0.001,18691596.0,3750.9345703125,4323.377846082852
GAT,2,2,256,2,0.01,234815.0625,421.5775451660156,484.57719973189
GAT,2,2,256,4,0.001,25158566.0,4352.1064453125,5015.831536246009
GAT,2,2,256,4,0.01,797473.3125,775.79345703125,893.0136127181937
GAT,2,3,128,2,0.001,1997668.875,1225.646484375,1413.3891449278929
GAT,2,3,128,2,0.01,782315.25,766.6409912109375,884.4858676089743
GAT,2,3,128,4,0.001,2703006.0,1425.8626708984375,1644.082114737582
GAT,2,3,128,4,0.01,215991.921875,402.457275390625,464.7493107848574
GAT,2,3,256,2,0.001,1566423.0,1086.8272705078125,1251.5682162790808
GAT,2,3,256,2,0.01,1445448.25,1044.2703857421875,1202.2679609804131
GAT,2,3,256,4,0.001,503115.78125,614.61767578125,709.3065495609075
GAT,2,3,256,4,0.01,88818.8828125,257.4774475097656,298.0249701157606
GAT,3,2,128,2,0.001,1379888.0,1021.2415771484375,1174.6863411140864
GAT,3,2,128,2,0.01,52.6839485168457,6.887639045715332,7.25837092720162
GAT,3,2,128,4,0.001,5197737.0,1979.9659423828125,2279.8546006269785
GAT,3,2,128,4,0.01,20215442.0,3902.787109375,4496.158582612495
GAT,3,2,256,2,0.001,18654598.0,3748.251708984375,4319.0968963430305
GAT,3,2,256,2,0.01,12413.7353515625,95.61772155761719,111.41694373641067
GAT,3,2,256,4,0.001,20076486.0,3887.947509765625,4480.679189587221
GAT,3,2,256,4,0.01,57320.05859375,206.76087951660156,239.4160783943927
GAT,3,3,128,2,0.001,2126829.5,1266.8843994140625,1458.3653520294563
GAT,3,3,128,2,0.01,480486.28125,602.3875732421875,693.1711774518615
GAT,3,3,128,4,0.001,395092.5,544.2141723632812,628.5638392398978
GAT,3,3,128,4,0.01,10512.6875,89.73027801513672,102.53139763018936
GAT,3,3,256,2,0.001,280912.6875,459.53924560546875,530.0119692044699
GAT,3,3,256,2,0.01,1278511.375,982.3677368164062,1130.7127729887904
GAT,3,3,256,4,0.001,99963.1953125,275.3836975097656,316.16956734084954
GAT,3,3,256,4,0.01,4635474.0,1867.811767578125,2153.01509516306
GAT,4,2,128,2,0.001,3484480.25,1625.67578125,1866.676257415838
GAT,4,2,128,2,0.01,7041024.0,2306.767822265625,2653.4927925283687
GAT,4,2,128,4,0.001,1576539.75,1092.172607421875,1255.6033410277307
GAT,4,2,128,4,0.01,865909.1875,809.931396484375,930.5424157447096
GAT,4,2,256,2,0.001,34673904.0,5120.0859375,5888.455145451989
GAT,4,2,256,2,0.01,25599.951171875,139.83091735839844,159.99984741203662
GAT,4,2,256,4,0.001,49495916.0,6119.171875,7035.333396506522
GAT,4,2,256,4,0.01,204837.21875,394.4836120605469,452.5894593889699
GAT,4,3,128,2,0.001,216310.1875,403.68359375,465.0915904421408
GAT,4,3,128,2,0.01,25493.93359375,138.07534790039062,159.66819844211307
GAT,4,3,128,4,0.001,323922.4375,494.1328125,569.1418430409067
GAT,4,3,128,4,0.01,11523432.0,2953.152099609375,3394.618093394307
GAT,4,3,256,2,0.001,1550003.0,1082.18115234375,1244.9911646272835
GAT,4,3,256,2,0.01,34317.33203125,162.21920776367188,185.2493779510474
GAT,4,3,256,4,0.001,67005.015625,226.02899169921875,258.8532704545183
GAT,4,3,256,4,0.01,32938.0859375,156.5852813720703,181.48852839091512
