model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,2,8,2,0.001,959375.1875,852.3035888671875,979.4769969223371
GAT,0,2,8,2,0.01,259048.453125,446.0735778808594,508.9680276058605
GAT,0,2,8,2,0.1,14.515615463256836,3.527947425842285,3.8099364119702623
GAT,0,2,8,4,0.001,9360158.0,2662.427978515625,3059.437530004494
GAT,0,2,8,4,0.01,306728.8125,481.1119384765625,553.8310324458174
GAT,0,2,8,4,0.1,13.048019409179688,3.318741798400879,3.612204231377247
GAT,0,2,16,1,0.001,576.4163818359375,21.48681640625,24.008673054459663
GAT,0,2,16,1,0.01,742891.375,750.7517700195312,861.9114658710604
GAT,0,2,16,1,0.1,17.695114135742188,3.9529621601104736,4.206556089694061
GAT,0,2,16,2,0.001,26326.927734375,142.669189453125,162.255747923995
GAT,0,2,16,2,0.01,1443142.0,1048.2672119140625,1201.3084533124704
GAT,0,2,16,2,0.1,5225989.5,1990.002197265625,2286.042322442872
GAT,0,2,16,4,0.001,2355989.75,1334.0987548828125,1534.9233694227214
GAT,0,2,16,4,0.01,8567249.0,2548.9833984375,2926.9863340986067
GAT,0,2,16,4,0.1,15.175849914550781,3.620310068130493,3.8956193236186185
GAT,0,2,32,1,0.001,15030339.0,3372.87109375,3876.898115762136
GAT,0,2,32,1,0.01,2295663.75,1319.8841552734375,1515.144795060855
GAT,0,2,32,1,0.1,20.58251190185547,4.302709579467773,4.536795333917485
GAT,0,2,32,2,0.001,4334909.5,1817.5216064453125,2082.0445480344556
GAT,0,2,32,2,0.01,383763.46875,538.3013305664062,619.4864556630758
GAT,0,2,32,2,0.1,9.186346054077148,2.7677910327911377,3.0308985555569405
GAT,0,2,32,4,0.001,2816225.5,1460.835693359375,1678.1613450440336
GAT,0,2,32,4,0.01,3440453.5,1614.5260009765625,1854.8459504767504
GAT,0,2,32,4,0.1,45.96570587158203,6.625442981719971,6.779801315052088
GAT,0,3,8,1,0.001,25.59101676940918,4.419841766357422,5.058756444958502
GAT,0,3,8,1,0.01,292366.21875,470.2175598144531,540.7089963649579
