model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
SAGE,3,1,64,2,1,0.0,0.0003,0.0005,0.509216421544755,0.5015490242949977,0.9815671569104899,1.9631343138209798,1.4011189506323078,0.5093255417579742,0.5008684008166946,0.9813489164840516,1.9626978329681033,1.4009631804469749,0.5094865201807698,0.5021041908404389,0.9810269596384603,1.9620539192769206,1.4007333505264021
SAGE,3,2,64,2,1,0.0,0.0003,0.0005,0.5376992098567028,0.5257740810761485,0.9246015802865943,1.8492031605731887,1.359854095325373,0.5357195032870709,0.5231575812065768,0.9285609934258583,1.8571219868517166,1.3627626304135716,0.5378981201909029,0.5255459768267209,0.9242037596181942,1.8484075192363885,1.3595615172681186
SAGE,4,0,64,2,1,0.3,0.001,0.0,0.5120531800915554,0.49162705208773727,0.975893639816889,1.951787279633778,1.3970638065721186,0.5079620160701241,0.48781231836444383,0.9840759678597516,1.9681519357195032,1.4029083846493695,0.5064087579865981,0.48556683606158635,0.9871824840268038,1.9743649680536075,1.405120979863872
SAGE,4,1,64,2,1,0.3,0.001,0.0,0.5843722606408883,0.582976386012461,0.8312554787182235,1.662510957436447,1.289383944927362,0.5683467251034818,0.5671022950040785,0.8633065497930362,1.7266130995860725,1.3140065066756985,0.5738857721676796,0.572609785157113,0.8522284556646408,1.7044569113292816,1.3055485097572137
SAGE,4,2,64,2,1,0.3,0.001,0.0,0.5817353933063053,0.5782714718482609,0.8365292133873894,1.6730584267747788,1.2934675978836032,0.5711224738251766,0.567292291375664,0.857755052349647,1.715510104699294,1.3097748297700997,0.571968442583033,0.5680068162477899,0.8560631148339339,1.7121262296678679,1.3084824147339038
SAGE,5,0,64,2,1,0.3,0.001,0.0005,0.5392884971267167,0.5056455453435428,0.9214230057465667,1.8428460114931333,1.357514645038179,0.540199659118578,0.5069452775404308,0.9196006817628439,1.8392013635256879,1.3561715833646153,0.5414913510986442,0.508052895388515,0.9170172978027116,1.8340345956054231,1.3542653342699957
SAGE,5,1,64,2,1,0.3,0.001,0.0005,0.5754723872601539,0.5698589715759683,0.8490552254796923,1.6981104509593845,1.3031156705985023,0.5756026296566837,0.5700771876168669,0.8487947406866326,1.6975894813732653,1.3029157614263729,0.5780543867851021,0.5725930027498871,0.8438912264297959,1.6877824528595917,1.2991468172841711
SAGE,5,2,64,2,1,0.3,0.001,0.0005,0.5198753302409389,0.4843927699904554,0.9602493395181222,1.9204986790362444,1.3858205796697654,0.5160944728512296,0.47945555848434085,0.9678110542975408,1.9356221085950815,1.3912663686710325,0.5207558196162462,0.48546084190509065,0.9584883607675075,1.916976721535015,1.3845492846175664
SAGE,6,0,64,2,1,0.3,0.0003,0.0,0.5315452420375962,0.531352663656891,0.9369095159248076,1.8738190318496153,1.368875097242117,0.5287070854638423,0.5284418670046802,0.9425858290723156,1.8851716581446312,1.373015534560564,0.5262194171731338,0.526032303711276,0.9475611656537323,1.8951223313074645,1.376634421808297
SAGE,6,1,64,2,1,0.3,0.0003,0.0,0.5145855654037207,0.4137804735946975,0.9708288691925587,1.9416577383851175,1.3934337940444523,0.5144874604334064,0.41281320518130077,0.9710250791331873,1.9420501582663745,1.3935745973095142,0.5144537946080723,0.4147368283241818,0.9710924107838553,1.9421848215677107,1.3936229122570103
SAGE,6,2,64,2,1,0.3,0.0003,0.0,0.5286776970183961,0.4792982285675881,0.9426446059632078,1.8852892119264155,1.3730583425063976,0.5239347455563672,0.4749374382244445,0.9521305088872657,1.9042610177745314,1.3799496432024363,0.524554397584494,0.475163400640221,0.950891204831012,1.901782409662024,1.3790512715856593
SAGE,7,0,64,2,1,0.3,0.0003,0.0005,0.504784747248466,0.4483686860766004,0.9904305055030681,1.9808610110061362,1.4074306416325233,0.5056245434623813,0.4488841268276591,0.9887509130752374,1.9775018261504749,1.406236760346733,0.5025128564749883,0.44508249815128076,0.9949742870500233,1.9899485741000467,1.410655370421864
SAGE,7,1,64,2,1,0.3,0.0003,0.0005,0.4857675075484562,0.47811029873627364,1.0284649849030876,2.056929969806175,1.4342001149791388,0.48546384222059896,0.4773860398860399,1.029072315558802,2.058144631117604,1.4346235154623683,0.48472806607448965,0.47726486430646253,1.0305438678510208,2.0610877357020416,1.4356488901197402
SAGE,7,2,64,2,1,0.3,0.0003,0.0005,0.4848363100673265,0.3011178895361519,1.0291586008741493,2.057148422757101,1.4342762714195272,0.48541514487460435,0.30147943174625635,1.028147065984904,2.05527148770392,1.4336218077665812,0.48304275835200156,0.300156516575755,1.032823609623064,2.064556345573196,1.4368564109100102
SAGE,8,0,64,2,1,0.0,0.001,0.0,0.5860402259666894,0.5841380520945354,0.8279195480666212,1.6558390961332423,1.2867941156740041,0.576381787192598,0.5744543830262585,0.847236425614804,1.694472851229608,1.3017191906204686,0.5705937353903693,0.5687285951725868,0.8588125292192613,1.7176250584385226,1.3105819541098995
SAGE,8,1,64,2,1,0.0,0.001,0.0,0.521342651212623,0.43856161869764565,0.9573146975747541,1.9146293951495081,1.3837013388551405,0.5174093011930849,0.4331040501954472,0.96518139761383,1.93036279522766,1.3893749656689731,0.5172004051737572,0.43397354393296456,0.9655991896524856,1.9311983793049712,1.3896756381634425
SAGE,8,2,64,2,1,0.0,0.001,0.0,0.5648854961832062,0.5457836402672918,0.8702290076335878,1.7404580152671756,1.3192641946430501,0.558899439980521,0.5394593810697161,0.8822011200389579,1.7644022400779158,1.3283080365931375,0.5598519528586734,0.5396888987567301,0.8802960942826532,1.7605921885653064,1.3268730868343461
SAGE,9,0,64,2,1,0.0,0.001,0.0005,0.5746079672737898,0.5673031686153507,0.8507840654524204,1.7015681309048407,1.3044416931794387,0.5788653518383248,0.5714847045242641,0.8422692963233503,1.6845385926467007,1.2978977589343086,0.572814399251987,0.5652490251076603,0.8543712014960262,1.7087424029920524,1.307188740386044
SAGE,9,1,64,2,1,0.0,0.001,0.0005,0.56569591896367,0.553947506862887,0.86860816207266,1.73721632414532,1.3180350238689866,0.5642561480399318,0.5515315640809945,0.8714877039201363,1.7429754078402726,1.320217939523726,0.5679834813775908,0.5565701197544806,0.8640330372448185,1.728066074489637,1.3145592700557998
SAGE,9,2,64,2,1,0.0,0.001,0.0005,0.5496061458295287,0.5145340937297872,0.9007877083409426,1.8015754166818851,1.3422277812211627,0.5453615777940102,0.5079686314191754,0.9092768444119795,1.818553688823959,1.3485376112010963,0.5477159832472972,0.512457977533642,0.9045680335054057,1.8091360670108114,1.345041288217879
SAGE,10,0,64,2,1,0.0,0.0003,0.0,0.5040177266971851,0.39716627695222007,0.9919645466056297,1.9839290932112594,1.408520178489204,0.5008522035549062,0.3924824436095903,0.9982955928901874,1.9965911857803749,1.4130078505728036,0.5033309957924264,0.39502484594935044,0.9933380084151473,1.9866760168302946,1.4094949509772268
SAGE,10,1,64,2,1,0.0,0.0003,0.0,0.509277296191682,0.3695476374668056,0.9814454076166358,1.9628908152332716,1.4010320536066516,0.5080107134161188,0.36655475658789205,0.9839785731677624,1.9679571463355248,1.4028389595158544,0.5075190899174069,0.36654125641103796,0.9849618201651862,1.9699236403303724,1.4035396824922237
