model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
SAGE,0,0,256,3,1,0.0,0.001,0.0,0.6219562676536476,0.621908107292464,0.7560874646927048,1.5121749293854096,1.2297052205245815,0.6037983929875822,0.6037343785408229,0.7924032140248356,1.5848064280496712,1.2588909516116442,0.6038452547919588,0.6037483024791431,0.7923094904160822,1.5846189808321645,1.2588165000635179
SAGE,0,1,256,3,1,0.0,0.001,0.0,0.6208239992208046,0.6184858864366591,0.758352001558391,1.516704003116782,1.2315453719277996,0.60136352568785,0.5989071928571696,0.7972729486243,1.5945458972486,1.2627533002327098,0.6040400498675393,0.6012697954510899,0.7919199002649213,1.5838398005298426,1.2585069727776015
SAGE,0,2,256,3,1,0.0,0.001,0.0,0.6345861183145233,0.6290311924528911,0.7308277633709535,1.461655526741907,1.2089894651079085,0.6141709276844411,0.6082811829651353,0.7716581446311176,1.5433162892622352,1.2423028170547772,0.6146099152624914,0.6086041727502662,0.770780169475017,1.541560338950034,1.241595883913133
SAGE,1,0,256,3,1,0.0,0.001,0.0005,0.6104631343138209,0.6058003665417536,0.779073731372358,1.558147462744716,1.2482577709530656,0.6064280496712929,0.6015461655383518,0.7871439006574141,1.5742878013148283,1.2547062609690078,0.6038062957768427,0.5990194422013502,0.7923874084463145,1.584774816892629,1.258878396388082
SAGE,1,1,256,3,1,0.0,0.001,0.0005,0.6057392617122821,0.6029100581971829,0.7885214765754358,1.5770429531508716,1.255803708049499,0.596737277818359,0.5935656990336293,0.8065254443632822,1.6130508887265644,1.270059403621171,0.5994818450989559,0.5967919529756847,0.8010363098020882,1.6020726196041764,1.2657300737535537
SAGE,1,2,256,3,1,0.0,0.001,0.0005,0.5989383590829955,0.5988223072737306,0.802123281834009,1.604246563668018,1.2665885534253094,0.599172145118091,0.5990842811451247,0.8016557097638178,1.6033114195276357,1.2662193410020381,0.5935521573974871,0.593473514748093,0.8128956852050259,1.6257913704100517,1.2750652416288555
SAGE,2,0,256,3,1,0.0,0.0003,0.0,0.5853706048504919,0.5851655787113328,0.8292587902990163,1.6585175805980326,1.2878344538790816,0.5845142439737034,0.5842955498702354,0.8309715120525931,1.6619430241051862,1.2891636917417377,0.5830021817048465,0.582810983329122,0.833995636590307,1.667991273180614,1.291507364741144
SAGE,2,1,256,3,1,0.0,0.0003,0.0,0.5857358527320542,0.5853317705450252,0.8285282945358917,1.6570565890717834,1.2872671009047747,0.5779887996104213,0.5774822818093774,0.8440224007791576,1.6880448015583152,1.2992477829722533,0.5848527349228612,0.584512980186942,0.8302945301542777,1.6605890603085554,1.2886384521302146
SAGE,2,2,256,3,1,0.0,0.0003,0.0,0.5911830234851528,0.5902696759866544,0.8176339530296943,1.6352679060593887,1.278775940522572,0.5893839785731677,0.5883543632690786,0.8212320428536645,1.642464085707329,1.2815865502209864,0.5840264926463427,0.5830604608077904,0.8319470147073147,1.6638940294146294,1.289920163969317
SAGE,3,0,256,3,1,0.0,0.0003,0.0005,0.5532044414142397,0.5060736775306572,0.8935911171715204,1.7871822343430408,1.336855352812353,0.5554419284149014,0.5086012533073387,0.8891161431701973,1.7782322863403945,1.3335037631519435,0.5552438834346267,0.5086403107208907,0.8895122331307465,1.779024466261493,1.3338007595819898
SAGE,3,1,256,3,1,0.0,0.0003,0.0005,0.5402381416187786,0.4715143913801666,0.9195237167624428,1.8390474335248856,1.3561148305084219,0.5373265157048941,0.46715568560031884,0.9253469685902118,1.8506939371804236,1.3604021233372225,0.5368162692847125,0.4683197307621535,0.926367461430575,1.85273492286115,1.3611520572151923
SAGE,3,2,256,3,1,0.0,0.0003,0.0005,0.5821858602091627,0.5820873598061989,0.8356282795816745,1.671256559163349,1.2927708842495444,0.5802775748721695,0.5801456544582007,0.8394448502556611,1.6788897005113221,1.295719761565487,0.5789617220220122,0.5788581617895949,0.8420765559559754,1.6841531119119508,1.29774924847289
SAGE,4,0,256,3,1,0.3,0.001,0.0,0.631063114833934,0.6296536873516398,0.7378737703321321,1.4757475406642642,1.214803498786641,0.6172875578280984,0.6159892951561061,0.7654248843438033,1.5308497686876066,1.237275138636353,0.6137018856163317,0.6122223302277062,0.7725962287673368,1.5451924575346736,1.2430577048289728
SAGE,4,1,256,3,1,0.3,0.001,0.0,0.6231250608746469,0.6200869704870062,0.7537498782507062,1.5074997565014123,1.227802816620573,0.6076941806671536,0.6046871162885713,0.7846116386656927,1.5692232773313854,1.2526864241825986,0.6100007791803024,0.6071685004542424,0.7799984416393954,1.5599968832787907,1.2489983519920236
SAGE,4,2,256,3,1,0.3,0.001,0.0,0.632918173295835,0.6324032984687236,0.73416365340833,1.46832730681666,1.2117455619133333,0.6134404674945215,0.6129817123999282,0.773119065010957,1.546238130021914,1.243478238660377,0.6145125158274082,0.6139182632720908,0.7709749683451836,1.5419499366903673,1.2417527679414961
SAGE,5,0,256,3,1,0.3,0.001,0.0005,0.6086368949060096,0.6070637801732384,0.7827262101879809,1.5654524203759619,1.2511804108025197,0.6011687363038715,0.5996301254744687,0.7976625273922571,1.5953250547845141,1.2630617778970727,0.5976312918809412,0.5960774739127027,0.8047374162381175,1.609474832476235,1.2686507921710508
SAGE,5,1,256,3,1,0.3,0.001,0.0005,0.6068228304275836,0.6010740056984674,0.786354339144833,1.572708678289666,1.2540768231211619,0.6004382761139518,0.5950349964201423,0.7991234477720964,1.5982468955441929,1.2642178987596215,0.6013713573320867,0.5959766901781021,0.7972572853358267,1.5945145706716535,1.2627408960953366
SAGE,5,2,256,3,1,0.3,0.001,0.0005,0.5788377953906279,0.5768212299654234,0.8423244092187443,1.6846488184374886,1.2979402214422238,0.5753104455807159,0.5733215714459738,0.8493791088385683,1.6987582176771365,1.3033641922644401,0.5732735950131489,0.5712427742530817,0.8534528099737021,1.7069056199474042,1.3064859815349739
SAGE,6,0,256,3,1,0.3,0.0003,0.0,0.5856506282263563,0.5844910699922683,0.8286987435472875,1.657397487094575,1.2873995056293035,0.5846116386656928,0.583378936511186,0.8307767226686146,1.6615534453372292,1.2890125854068413,0.5830021817048465,0.5818029962727068,0.833995636590307,1.667991273180614,1.291507364741144
SAGE,6,1,256,3,1,0.3,0.0003,0.0,0.5611790201616831,0.5109752281025663,0.8776419596766338,1.7552839193532677,1.3248712840699914,0.5602629656683711,0.5097593426126537,0.8794740686632578,1.7589481373265157,1.326253421230843,0.5592956210067009,0.5085919341952407,0.8814087579865981,1.7628175159731962,1.3277113827836216
SAGE,6,2,256,3,1,0.3,0.0003,0.0,0.5841338251944921,0.5841070535708527,0.8317323496110157,1.6634646992220314,1.2897537358821767,0.5824689554419284,0.5823972951705403,0.8350620891161432,1.6701241782322864,1.292332843439447,0.5790786013441122,0.5790092242226179,0.8418427973117756,1.6836855946235512,1.2975691097677808
SAGE,7,0,256,3,1,0.3,0.0003,0.0005,0.5640036037790981,0.5151551191320414,0.8719927924418038,1.7439855848836077,1.320600463760182,0.5629413196980765,0.5148387727504552,0.874117360603847,1.748234721207694,1.3222082745194472,0.5605228299828581,0.5117646477109652,0.878954340034284,1.757908680068568,1.325861486003937
SAGE,7,1,256,3,1,0.3,0.0003,0.0005,0.5866367975065745,0.5806993039032939,0.8267264049868511,1.6534528099737023,1.2858665599406893,0.5850986121256392,0.579377050425748,0.8298027757487217,1.6596055514974435,1.2882567878716742,0.586002025868786,0.5801691245666636,0.827995948262428,1.655991896524856,1.2868534868138082
SAGE,7,2,256,3,1,0.3,0.0003,0.0005,0.5004443795122783,0.33463273639138924,0.9991112409754435,1.998222481950887,1.413584975143301,0.4998782566350134,0.3337114543986311,1.0002434867299732,2.0004869734599464,1.4143857230119181,0.5002824583617415,0.3345301923306727,0.999435083276517,1.998870166553034,1.4138140494962674
SAGE,8,0,256,3,1,0.0,0.001,0.0,0.6209457485146587,0.6198874139850018,0.7581085029706828,1.5162170059413655,1.2313476381352935,0.6042853664475286,0.6032775578617025,0.7914292671049428,1.5828585342098855,1.2581170590250677,0.598722144304192,0.5974762998886248,0.802555711391616,1.605111422783232,1.2669299202336457
SAGE,8,1,256,3,1,0.0,0.001,0.0,0.6087221194117074,0.5972982843386887,0.7825557611765852,1.5651115223531704,1.2510441728225148,0.600146092037984,0.5885597071212108,0.7997078159240322,1.5994156318480643,1.2646800511781882,0.601877824528596,0.5907800149270173,0.7962443509428082,1.5924887018856164,1.2619384699285525
SAGE,8,2,256,3,1,0.0,0.001,0.0,0.6331007950132096,0.6288668192321403,0.7337984099735807,1.4675968199471614,1.211444105168357,0.6126126126126126,0.608270427606731,0.7747747747747747,1.5495495495495495,1.2448090413993422,0.6137722801207753,0.6091677483115472,0.7724554397584494,1.5449108795168989,1.2429444394327924
SAGE,9,0,256,3,1,0.0,0.001,0.0005,0.6080890230836661,0.5948527817871494,0.7838219538326677,1.5676439076653355,1.2520558724215687,0.6068663257852447,0.5936307684631823,0.7862673484295106,1.5725346968590213,1.254007454865808,0.6031634720274271,0.5898471228268245,0.7936730559451457,1.5873461118902914,1.2598992467218526
SAGE,9,1,256,3,1,0.0,0.001,0.0005,0.581839875328723,0.5815352743676909,0.8363202493425538,1.6726404986851076,1.2933060344269285,0.5767713659605551,0.5765588853658746,0.8464572680788897,1.6929145361577793,1.3011204925593092,0.5832359357955431,0.582948804513999,0.8335281284089138,1.6670562568178275,1.291145327535916
SAGE,9,2,256,3,1,0.0,0.001,0.0005,0.5635584450369504,0.5253538156247641,0.8728831099260991,1.7457662198521982,1.3212744680240356,0.5629413196980765,0.525448642703806,0.874117360603847,1.748234721207694,1.3222082745194472,0.5576312457387748,0.5193698402720373,0.8847375085224506,1.7694750170449012,1.3302161542564808
SAGE,10,0,256,3,1,0.0,0.0003,0.0,0.5813407032239213,0.5807773261411624,0.8373185935521574,1.6746371871043149,1.294077736113374,0.5780374969564159,0.5774402784129116,0.8439250060871683,1.6878500121743365,1.2991728184403861,0.5807425588281129,0.5801692814276754,0.8385148823437744,1.6770297646875487,1.2950018396463956
SAGE,10,1,256,3,1,0.0,0.0003,0.0,0.588109963962209,0.5879311494726734,0.823780072075582,1.647560144151164,1.2835731939204573,0.5824689554419284,0.5822620619143268,0.8350620891161432,1.6701241782322864,1.292332843439447,0.5858656693158797,0.5857389091598186,0.8282686613682406,1.6565373227364812,1.2870653917872554
SAGE,10,2,256,3,1,0.0,0.0003,0.0,0.5063247988117413,0.35708001922165133,0.9873504023765173,1.9747008047530346,1.4052404793319309,0.5066471877282688,0.35741587872590574,0.9867056245434623,1.9734112490869247,1.404781566325144,0.5049965910197721,0.3550576875554515,0.9900068179604559,1.9800136359209117,1.4071295732521976
SAGE,11,0,256,3,1,0.0,0.0003,0.0005,0.5800379857796825,0.5799576363759282,0.8399240284406351,1.6798480568812701,1.2960895250256712,0.5756513270026784,0.5755660942266378,0.8486973459946433,1.6973946919892866,1.3028410079473576,0.5782102228455664,0.5781260804953252,0.8435795543088671,1.6871591086177342,1.2989068898953975
SAGE,11,1,256,3,1,0.0,0.0003,0.0005,0.5100686666017337,0.35771826737141066,0.9798626667965326,1.959725333593065,1.3999019014177618,0.5099099099099099,0.3571196545188478,0.9801801801801802,1.9603603603603603,1.4001286942136284,0.509992987377279,0.35751295496615393,0.9800140252454418,1.9600280504908836,1.4000100179966155
SAGE,11,2,256,3,1,0.0,0.0003,0.0005,0.5832572409510939,0.5831303545788802,0.8334855180978122,1.6669710361956245,1.291112325166027,0.5801314828341856,0.5799632225774531,0.8397370343316289,1.6794740686632579,1.2959452413830062,0.5776565695918964,0.5774968846864723,0.8446868608162073,1.6893737216324145,1.2997591013847198
SAGE,12,0,256,3,1,0.3,0.001,0.0,0.6200569786695237,0.6133333025896868,0.7598860426609526,1.5197720853219052,1.2327903655212047,0.6062819576333089,0.5990601107188865,0.787436084733382,1.574872169466764,1.2549391098642053,0.6051503817983481,0.5981071337235966,0.7896992364033038,1.5793984728066075,1.2567412115493817
SAGE,12,1,256,3,1,0.3,0.001,0.0,0.625596571539885,0.6255808637818181,0.7488068569202299,1.4976137138404597,1.2237702863856679,0.6100803506208912,0.6100780389378319,0.7798392987582177,1.5596785975164353,1.2488709290861226,0.6136434470936575,0.6136433479896909,0.772713105812685,1.54542621162537,1.2431517251025195
SAGE,12,2,256,3,1,0.3,0.001,0.0,0.6267820835920475,0.6235179921897264,0.7464358328159051,1.4928716656318102,1.221831275435283,0.6177258339420502,0.6143721936084245,0.7645483321158997,1.5290966642317994,1.236566481929621,0.6098763027174442,0.6062921666846518,0.7802473945651115,1.560494789130223,1.2491976581511122
SAGE,13,0,256,3,1,0.3,0.001,0.0005,0.6078698743547287,0.6078375241828357,0.7842602512905426,1.568520502581085,1.2524058857179987,0.6018504991477964,0.6018388655134799,0.7962990017044072,1.5925980034088143,1.2619817761793608,0.5997935172198847,0.5997460585917143,0.8004129655602307,1.6008259311204613,1.2652374998870612
