model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,5,2,256,2,6,0.3,0.001,0.0,1.1803767681121826,2.08675217628479,1.4445595094300512,1.23500394821167,2.2460474967956543,1.4986819198200978,1.2331500053405762,2.2357213497161865,1.4952328747443278
GAT,6,0,256,2,6,0.4,0.0005,0.0,1.2387077808380127,2.2269651889801025,1.4923019764712846,1.2625404596328735,2.2980635166168213,1.51593651470529,1.2593413591384888,2.2816081047058105,1.5104992898726601
GAT,6,1,256,2,6,0.4,0.0005,0.0,1.2428982257843018,2.2400665283203125,1.4966851800964398,1.26242995262146,2.2986536026000977,1.5161311297510178,1.2667158842086792,2.3047852516174316,1.5181519198082356
GAT,6,2,256,2,6,0.4,0.0005,0.0,1.2828329801559448,2.3430674076080322,1.5307081392636652,1.3051124811172485,2.412358283996582,1.553176836035286,1.3068649768829346,2.4140396118164062,1.5537179962323941
GAT,7,0,256,2,6,0.4,0.001,0.0,1.1725703477859497,2.0842220783233643,1.4436835104424253,1.2182515859603882,2.2100627422332764,1.4866279770787567,1.2161223888397217,2.1975090503692627,1.482399760648005
GAT,7,1,256,2,6,0.4,0.001,0.0,1.171921730041504,2.0963618755340576,1.4478818582792097,1.2199417352676392,2.228524923324585,1.4928244784048073,1.2186658382415771,2.2210075855255127,1.4903045277813232
GAT,7,2,256,2,6,0.4,0.001,0.0,1.1592931747436523,2.073634624481201,1.4400120223391197,1.2148866653442383,2.2332637310028076,1.4944108307298927,1.2129006385803223,2.2243363857269287,1.491420928419247
GAT,8,0,256,4,4,0.3,0.0005,0.0,1.2207258939743042,2.1914806365966797,1.4803650349142536,1.2395702600479126,2.2464208602905273,1.4988064785990642,1.237443208694458,2.2335619926452637,1.494510619783367
GAT,8,1,256,4,4,0.3,0.0005,0.0,1.2322889566421509,2.2133805751800537,1.4877434507266545,1.2436693906784058,2.246730089187622,1.4989096334294547,1.2461605072021484,2.2563040256500244,1.5020998720624485
GAT,8,2,256,4,4,0.3,0.0005,0.0,1.224905252456665,2.1965596675872803,1.4820795078494542,1.2434465885162354,2.2586374282836914,1.5028763848978703,1.2415341138839722,2.2500433921813965,1.5000144639907298
GAT,9,0,256,4,4,0.3,0.001,0.0,1.1914554834365845,2.1209218502044678,1.4563385081101399,1.2232311964035034,2.205341339111328,1.4850391709013362,1.2210699319839478,2.1921894550323486,1.4806044221980255
GAT,9,1,256,4,4,0.3,0.001,0.0,1.193448781967163,2.137218952178955,1.4619230322349241,1.2193360328674316,2.2141599655151367,1.4880053647467595,1.2200334072113037,2.213543653488159,1.4877982569851866
GAT,9,2,256,4,4,0.3,0.001,0.0,1.1842360496520996,2.1059725284576416,1.4511969295921356,1.2144488096237183,2.192452907562256,1.4806933874243702,1.2122712135314941,2.1840877532958984,1.477865945644563
GAT,10,0,256,4,4,0.4,0.0005,0.0,1.2278075218200684,2.196662664413452,1.4821142548445623,1.245032548904419,2.2482898235321045,1.499429832813828,1.2441500425338745,2.238154888153076,1.4960464191170928
GAT,10,1,256,4,4,0.4,0.0005,0.0,1.234849214553833,2.220121383666992,1.4900071757098998,1.2491440773010254,2.2592668533325195,1.503085777104061,1.2487120628356934,2.2615060806274414,1.5038304693772637
GAT,10,2,256,4,4,0.4,0.0005,0.0,1.2265383005142212,2.2028114795684814,1.4841871443886319,1.2410792112350464,2.247479200363159,1.4991594979731673,1.239896535873413,2.2411916255950928,1.4970609959500958
GAT,11,0,256,4,4,0.4,0.001,0.0,1.1861246824264526,2.112539529800415,1.4534577839759968,1.2180362939834595,2.201664924621582,1.4838008372492524,1.2142497301101685,2.1894142627716064,1.4796669431908
GAT,11,1,256,4,4,0.4,0.001,0.0,1.1903566122055054,2.117157459259033,1.455045517933729,1.212877631187439,2.1812689304351807,1.4769119575774248,1.2147654294967651,2.1870477199554443,1.4788670393092964
GAT,11,2,256,4,4,0.4,0.001,0.0,1.1955432891845703,2.1197755336761475,1.4559448937635475,1.2244293689727783,2.202566385269165,1.4841045735625118,1.2197086811065674,2.187901258468628,1.479155589675619
GAT,12,0,256,4,6,0.3,0.0005,0.0,1.2389781475067139,2.23512864112854,1.4950346621829675,1.254960060119629,2.2790064811706543,1.5096378642477983,1.2569459676742554,2.2833218574523926,1.51106646361184
GAT,12,1,256,4,6,0.3,0.0005,0.0,1.2323954105377197,2.2125375270843506,1.487460092602269,1.2481942176818848,2.261873245239258,1.5039525408865992,1.2470130920410156,2.2573347091674805,1.5024429137799147
GAT,12,2,256,4,6,0.3,0.0005,0.0,1.2322046756744385,2.2110230922698975,1.4869509380843395,1.2465708255767822,2.255631685256958,1.501876055224584,1.2439390420913696,2.2446255683898926,1.4982074517201858
