model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,9,1,128,2,6,0.3,0.0005,0.001,1.3493648767471313,2.604179620742798,1.6137470745884555,1.3440852165222168,2.598269462585449,1.6119148434658233,1.3516888618469238,2.6126420497894287,1.6163669291931917
GAT,9,2,128,2,6,0.3,0.0005,0.001,1.347137212753296,2.6086244583129883,1.6151236665695257,1.348516821861267,2.6212713718414307,1.61903408606534,1.349151849746704,2.6224634647369385,1.6194021936310135
GAT,10,0,128,2,6,0.3,0.001,0.0005,1.2739256620407104,2.3351335525512695,1.5281143780984687,1.280947208404541,2.350985050201416,1.5332922259639277,1.274054765701294,2.3386337757110596,1.529259224497619
GAT,10,1,128,2,6,0.3,0.001,0.0005,1.2758407592773438,2.36751389503479,1.5386727706158936,1.2810044288635254,2.3894762992858887,1.5457930971788847,1.277797818183899,2.3777995109558105,1.54201151453412
GAT,10,2,128,2,6,0.3,0.001,0.0005,1.2708195447921753,2.3305234909057617,1.5266052177644887,1.277320384979248,2.3608343601226807,1.5365006866652162,1.2780296802520752,2.356438636779785,1.5350695869503066
GAT,11,0,128,2,6,0.3,0.001,0.001,1.3324884176254272,2.508185386657715,1.5837251613388337,1.3359631299972534,2.5165748596191406,1.5863716019959322,1.3342204093933105,2.513037919998169,1.585256420897947
GAT,11,1,128,2,6,0.3,0.001,0.001,1.2770607471466064,2.3290088176727295,1.5261090451447856,1.2787683010101318,2.3397464752197266,1.5296229846663938,1.2797282934188843,2.3390374183654785,1.5293911920648289
GAT,11,2,128,2,6,0.3,0.001,0.001,1.276004672050476,2.3312408924102783,1.5268401659670465,1.2789479494094849,2.344250202178955,1.5310944458716305,1.2759565114974976,2.3336806297302246,1.5276389068527367
GAT,12,0,128,2,6,0.4,0.0005,0.0005,1.3834493160247803,2.761329412460327,1.6617248305481649,1.3848241567611694,2.7596638202667236,1.6612235912924918,1.380682349205017,2.7588720321655273,1.6609852594666599
GAT,12,1,128,2,6,0.4,0.0005,0.0005,1.3447775840759277,2.588622570037842,1.6089196903630218,1.343488335609436,2.589538812637329,1.6092044036222772,1.3465042114257812,2.590743064880371,1.6095785364126756
GAT,12,2,128,2,6,0.4,0.0005,0.0005,1.3553153276443481,2.620213508605957,1.6187073573088981,1.3549070358276367,2.626871109008789,1.6207625085152941,1.3575997352600098,2.6368539333343506,1.6238392572340252
GAT,13,0,128,2,6,0.4,0.0005,0.001,1.350555419921875,2.6024210453033447,1.6132021092545548,1.3545241355895996,2.6135966777801514,1.616662202743712,1.351034164428711,2.600653648376465,1.612654224679446
GAT,13,1,128,2,6,0.4,0.0005,0.001,1.3582550287246704,2.6808390617370605,1.637326803584752,1.3556270599365234,2.6753036975860596,1.6356355638057212,1.3603978157043457,2.685054063796997,1.638613457712647
GAT,13,2,128,2,6,0.4,0.0005,0.001,1.3579977750778198,2.655961036682129,1.6297119489904126,1.355956792831421,2.660726308822632,1.6311732920884376,1.3574411869049072,2.658613681793213,1.6305255845258033
GAT,14,0,128,2,6,0.4,0.001,0.0005,1.2653299570083618,2.309835433959961,1.519814276140332,1.2715270519256592,2.3232948780059814,1.5242358341168802,1.266704797744751,2.3166723251342773,1.5220618663951466
GAT,14,1,128,2,6,0.4,0.001,0.0005,1.300384283065796,2.4178788661956787,1.5549530109285228,1.2953723669052124,2.4173896312713623,1.554795687951109,1.2998145818710327,2.4183664321899414,1.5551097813948511
GAT,14,2,128,2,6,0.4,0.001,0.0005,1.2711807489395142,2.3294930458068848,1.5262676848465622,1.275742769241333,2.3526129722595215,1.5338229924797455,1.2753101587295532,2.348386764526367,1.532444701947306
GAT,15,0,128,2,6,0.4,0.001,0.001,1.2539796829223633,2.2770960330963135,1.5090049811370119,1.2595531940460205,2.292914390563965,1.5142372306095122,1.2544057369232178,2.2781052589416504,1.5093393451910178
GAT,15,1,128,2,6,0.4,0.001,0.001,1.2771437168121338,2.3566184043884277,1.5351281394034921,1.277019739151001,2.369507312774658,1.5393204061450814,1.2790955305099487,2.3648879528045654,1.537819219805945
GAT,15,2,128,2,6,0.4,0.001,0.001,1.2839754819869995,2.3712270259857178,1.5398788997793682,1.2879564762115479,2.3935225009918213,1.5471013221479133,1.2891080379486084,2.3925561904907227,1.5467889935252068
GAT,16,0,256,2,4,0.3,0.0005,0.0005,1.2782686948776245,2.3250327110290527,1.5248057945289468,1.2832396030426025,2.3380494117736816,1.5290681514483524,1.2777262926101685,2.324343681335449,1.5245798376390294
GAT,16,1,256,2,4,0.3,0.0005,0.0005,1.2637755870819092,2.3106350898742676,1.5200773302283892,1.2642128467559814,2.3203587532043457,1.5232723831292767,1.265900731086731,2.3223042488098145,1.523910840177277
GAT,16,2,256,2,4,0.3,0.0005,0.0005,1.2588098049163818,2.285618543624878,1.5118262279855044,1.2618935108184814,2.3050577640533447,1.5182416685275584,1.263058066368103,2.3031606674194336,1.5176167722516227
GAT,17,0,256,2,4,0.3,0.0005,0.001,1.2464885711669922,2.2696003913879395,1.5065192967194079,1.2505908012390137,2.2882018089294434,1.5126803393081578,1.2469196319580078,2.27186918258667,1.5072720997174565
GAT,17,1,256,2,4,0.3,0.0005,0.001,1.2531838417053223,2.2877631187438965,1.5125353280977925,1.2545921802520752,2.3058483600616455,1.5185020118727686,1.254313349723816,2.294917106628418,1.5148983816178623
GAT,17,2,256,2,4,0.3,0.0005,0.001,1.2508033514022827,2.274636745452881,1.5081898903827995,1.2545111179351807,2.2939531803131104,1.5145801993665144,1.2565633058547974,2.2955076694488525,1.5150932873750225
GAT,18,0,256,2,4,0.3,0.001,0.0005,1.2802611589431763,2.337848424911499,1.5290024280266854,1.2911028861999512,2.3702962398529053,1.5395766430590279,1.2847319841384888,2.3517229557037354,1.5335328348958608
GAT,18,1,256,2,4,0.3,0.001,0.0005,1.2197178602218628,2.2181107997894287,1.489332333560723,1.223456859588623,2.2384305000305176,1.4961385296925274,1.223942756652832,2.2338979244232178,1.4946230041128157
GAT,18,2,256,2,4,0.3,0.001,0.0005,1.2000161409378052,2.1885876655578613,1.4793875981492683,1.210676670074463,2.2258341312408447,1.4919229642447511,1.2042007446289062,2.205043077468872,1.484938745359172
GAT,19,0,256,2,4,0.3,0.001,0.001,1.2320888042449951,2.2207562923431396,1.4902202160563853,1.2402167320251465,2.242007255554199,1.4973333815667769,1.23656165599823,2.2341737747192383,1.4947152821588592
GAT,19,1,256,2,4,0.3,0.001,0.001,1.2350472211837769,2.2235724925994873,1.4911648106763675,1.236474871635437,2.2313406467437744,1.4937672665926827,1.2396554946899414,2.2421398162841797,1.4973776465154607
GAT,19,2,256,2,4,0.3,0.001,0.001,1.2125911712646484,2.1913516521453857,1.4803214691901843,1.2148077487945557,2.2065744400024414,1.4854542874159546,1.2178817987442017,2.2109971046447754,1.4869421994969325
GAT,20,0,256,2,4,0.4,0.0005,0.0005,1.2859946489334106,2.3630502223968506,1.5372215918327619,1.289835810661316,2.374711751937866,1.5410099778839417,1.2864118814468384,2.363309860229492,1.5373060398728329
GAT,20,1,256,2,4,0.4,0.0005,0.0005,1.2676150798797607,2.316300392150879,1.5219396808516685,1.2667582035064697,2.319279909133911,1.5229182214202808,1.2693630456924438,2.3238675594329834,1.5244236810785194
GAT,20,2,256,2,4,0.4,0.0005,0.0005,1.2484519481658936,2.2685205936431885,1.5061608790707546,1.2507051229476929,2.2815487384796143,1.5104796385518124,1.2509052753448486,2.281440019607544,1.510443649927909
GAT,21,0,256,2,4,0.4,0.0005,0.001,1.2837615013122559,2.361416816711426,1.536690214946209,1.2896095514297485,2.379879951477051,1.542685953613713,1.284820795059204,2.3635761737823486,1.5373926543932583
GAT,21,1,256,2,4,0.4,0.0005,0.001,1.283760905265808,2.360071897506714,1.5362525500407522,1.2807084321975708,2.3627233505249023,1.5371152691079815,1.2864844799041748,2.373612403869629,1.5406532393337669
GAT,21,2,256,2,4,0.4,0.0005,0.001,1.2679290771484375,2.3147945404052734,1.5214448857600047,1.2726709842681885,2.3338675498962402,1.5277000850612794,1.2722280025482178,2.332231283187866,1.527164458461454
GAT,22,0,256,2,4,0.4,0.001,0.0005,1.3311448097229004,2.4793734550476074,1.5746026340152004,1.3351889848709106,2.4909210205078125,1.5782651933397671,1.3324726819992065,2.4870364665985107,1.5770340727449457
GAT,22,1,256,2,4,0.4,0.001,0.0005,1.2107937335968018,2.191997766494751,1.4805396875784016,1.2154128551483154,2.21160626411438,1.4871470216876272,1.2160205841064453,2.21032452583313,1.486716020574585
GAT,22,2,256,2,4,0.4,0.001,0.0005,1.2143073081970215,2.1939337253570557,1.4811933450286143,1.2196537256240845,2.2203493118286133,1.490083659338835,1.2208601236343384,2.2121496200561523,1.4873296944713208
GAT,23,0,256,2,4,0.4,0.001,0.001,1.2046451568603516,2.202805280685425,1.484185056078057,1.213221549987793,2.229327917098999,1.4930934053497789,1.2081537246704102,2.2091875076293945,1.486333578854153
GAT,23,1,256,2,4,0.4,0.001,0.001,1.2121632099151611,2.2078006267547607,1.4858669613241828,1.2142049074172974,2.2236533164978027,1.4911919113574224,1.2138166427612305,2.2245140075683594,1.491480475087877
GAT,23,2,256,2,4,0.4,0.001,0.001,1.2294753789901733,2.223386287689209,1.4911023733094952,1.236640453338623,2.2521886825561523,1.5007293835186117,1.2362298965454102,2.2472102642059326,1.4990697996444105
GAT,24,0,256,2,6,0.3,0.0005,0.0005,1.2915737628936768,2.374504804611206,1.5409428297672845,1.2987793684005737,2.3886160850524902,1.5455148284802998,1.2934072017669678,2.3850502967834473,1.5443608052470923
GAT,24,1,256,2,6,0.3,0.0005,0.0005,1.2486658096313477,2.275367498397827,1.5084321325130365,1.2473653554916382,2.279879093170166,1.509926850271286,1.2481800317764282,2.276961326599121,1.5089603462646461
GAT,24,2,256,2,6,0.3,0.0005,0.0005,1.242606520652771,2.256488561630249,1.5021612968087845,1.2469141483306885,2.276364326477051,1.508762514936347,1.2475279569625854,2.273902177810669,1.507946344473393
GAT,25,0,256,2,6,0.3,0.0005,0.001,1.2812151908874512,2.3509271144866943,1.5332733332601511,1.2860872745513916,2.362997531890869,1.5372044535099647,1.2840675115585327,2.357029914855957,1.5352621648617402
GAT,25,1,256,2,6,0.3,0.0005,0.001,1.2926912307739258,2.3758997917175293,1.5413954040795403,1.2924612760543823,2.377018690109253,1.5417583111853987,1.2967374324798584,2.383704662322998,1.543925083131626
GAT,25,2,256,2,6,0.3,0.0005,0.001,1.305091142654419,2.422208547592163,1.5563446108083399,1.3063424825668335,2.429685592651367,1.5587448773456698,1.3088229894638062,2.4362592697143555,1.5608520973219582
GAT,26,0,256,2,6,0.3,0.001,0.0005,1.2239131927490234,2.2432546615600586,1.4977498661525757,1.2301197052001953,2.25854229927063,1.5028447355833636,1.2278624773025513,2.2501461505889893,1.5000487160719111
GAT,26,1,256,2,6,0.3,0.001,0.0005,1.2358657121658325,2.239429235458374,1.4964722635112133,1.2381423711776733,2.2578318119049072,1.502608336162457,1.2395274639129639,2.2549893856048584,1.5016622075569652
GAT,26,2,256,2,6,0.3,0.001,0.0005,1.3045902252197266,2.4226696491241455,1.5564927398237827,1.3110166788101196,2.450669765472412,1.565461518362049,1.3102355003356934,2.4442737102508545,1.563417318009128
