timestamp,model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
2025-12-23T17:39:37.923259,GAT,0,0,128,2,4,0.3,0.0005,0.0,0.5584031362618097,0.3738770777467328,0.8719927924418038,1.732784649849031,1.3163527832040434,0.5552471390309228,0.372081619842824,0.8762600438276114,1.7392744095446797,1.3188155327962587,0.5506856786660433,0.3692652519298317,0.884525479195886,1.7549477949197445,1.324744426264834
2025-12-23T17:39:39.842247,GAT,0,1,128,2,4,0.3,0.0005,0.0,0.5465082302522646,0.3428114229454402,0.8933597935131976,1.773095841044122,1.3315764495680005,0.5425371317263209,0.3401953002368023,0.8992938884830777,1.7829559289018748,1.3352737280804543,0.5437120149602618,0.34063956400834244,0.8983364500545427,1.7824333800841514,1.3350780426941908
2025-12-23T17:39:42.937807,GAT,0,2,128,2,4,0.3,0.0005,0.0,0.5409864007694462,0.3549001899657099,0.8971961478992415,1.773561245236617,1.3317511949446927,0.5413683954224495,0.3562215528687853,0.8939858777696615,1.7646944241538836,1.3284180155936924,0.5382292782701861,0.3533440309054468,0.900594136554008,1.7782409662023961,1.3335070176802206
2025-12-23T17:39:45.782766,GAT,1,0,128,2,4,0.3,0.0005,0.0005,0.534455050160709,0.3417665722498198,0.9000073049576313,1.768932015194312,1.330012035732877,0.5308984660336011,0.3402494465972234,0.9058193328463598,1.779254930606282,1.3338871506264245,0.5299789621318373,0.3386463147560559,0.9089722611812373,1.7868747078073866,1.33674032923653
2025-12-23T17:39:48.541760,GAT,1,1,128,2,4,0.3,0.0005,0.0005,0.5094964449206194,0.3248131614163008,0.9495592675562482,1.8676706925099835,1.3666274885681113,0.505673240808376,0.32226439317846717,0.9564158753347942,1.8805941076211345,1.3713475517246292,0.5125253233598255,0.32665328095232604,0.9451651862240923,1.8605462053919277,1.3640184036118896
2025-12-23T17:39:50.691720,GAT,1,2,128,2,4,0.3,0.0005,0.0005,0.4852259030643924,0.2907392041076254,1.005442127177764,1.9867781876620767,1.4095311942848503,0.4838081324567811,0.2902663187775351,1.00954467981495,1.9962503043584126,1.4128872228024474,0.4854387844550502,0.29172132254399596,1.0051816499464303,1.9864225187493914,1.409405022961601
2025-12-23T17:39:55.070857,GAT,2,0,128,2,4,0.3,0.001,0.0,0.5899118535112496,0.39221290301334183,0.8193970974968345,1.638014999513003,1.2798496003488078,0.5736060384709033,0.38160477289086064,0.8509861212563915,1.7001704407109812,1.3039058404313484,0.5763012311048776,0.3832748882390586,0.8452353124513012,1.688308399563659,1.299349221558107
2025-12-23T17:39:59.459825,GAT,2,1,128,2,4,0.3,0.001,0.0,0.5921885653063212,0.3942250151621611,0.814624525177754,1.6282507061459044,1.27602927323236,0.5810080350620891,0.38709482081890706,0.8352568785001218,1.6677867056245435,1.2914281651042552,0.5758337229234844,0.3834324143965591,0.8455859435873461,1.6884252766090073,1.2993941960040485
2025-12-23T17:40:03.848655,GAT,2,2,128,2,4,0.3,0.001,0.0,0.5934110084371234,0.39505290829959544,0.8122040006330886,1.6234340187735126,1.27414050197516,0.5823228634039445,0.3878892447854952,0.8331628926223521,1.6641344046749451,1.2900133350764034,0.578299405863446,0.3851701331137039,0.8412389208142593,1.6803155741696698,1.2962698693442156
2025-12-23T17:40:08.244739,GAT,3,0,128,2,4,0.3,0.001,0.0005,0.5673882341482419,0.37785744613698835,0.860195285867342,1.7153623258985098,1.3097184147359728,0.5608473338203068,0.3739803205417078,0.8719259800340882,1.737472607742878,1.3181322421300823,0.5591008259311204,0.3724611484908684,0.8761882499610409,1.746766401745364,1.321652905170402
2025-12-23T17:40:12.631171,GAT,3,1,128,2,4,0.3,0.001,0.0005,0.5648436739066913,0.3770323398547372,0.8678167916626084,1.7331377228012077,1.316486886680307,0.5646944241538836,0.3769950902593136,0.8677867056245434,1.7327489651813976,1.3163392287633904,0.5638733052828424,0.3764607214456732,0.8693509428081658,1.7357994389901823,1.3174974151740042
