model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
GAT,0,0,128,2,4,0.3,0.0005,0.0,0.5542393104119996,0.33743093958023856,0.8908030583422616,1.780887795850784,1.334499080498291,0.5560262965668371,0.33924723632698384,0.886973459946433,1.772972972972973,1.3315303124499167,0.5579320554776376,0.34142329856625103,0.8832398316970547,1.7655836060464392,1.3287526504381615
GAT,0,1,128,2,4,0.3,0.0005,0.0,0.6001753189831499,0.39052190058491326,0.7990649654232005,1.5975455342359015,1.2639404789134263,0.586072559045532,0.3805939974851565,0.8271244217190163,1.653518383248113,1.2858920573858885,0.5914757674925978,0.3845461016394652,0.8161913666822502,1.6315256350319465,1.2773118785292599
GAT,0,2,128,2,4,0.3,0.0005,0.0,0.5563144502477568,0.3259941409342512,0.8853257362698905,1.7686061093051852,1.3298895101869121,0.5581689797906014,0.32729924031326846,0.8809836863890917,1.7592890187484782,1.3263819279334585,0.5563066134216421,0.32475482459445165,0.8854972241161001,1.7691048991915848,1.3300770275407303
GAT,1,0,128,2,4,0.3,0.0005,0.0005,0.5540445115418331,0.3212791870642759,0.8871505795266388,1.7695407616635823,1.330240866032758,0.5514974433893353,0.31904997457807055,0.8921353786218651,1.7794010226442658,1.3339419112706017,0.5498480598410472,0.31779469541520905,0.8960378681626928,1.787809724170173,1.3370900209672394
GAT,1,1,128,2,4,0.3,0.0005,0.0005,0.5615199181844746,0.3344538614647461,0.875267848446479,1.7488433817083862,1.322438422652785,0.5591916240564889,0.3330899011721668,0.8800584368151936,1.7585585585585586,1.326106541179312,0.5607760635811126,0.33397438652956074,0.8770063892784791,1.7525712949976624,1.3238471569624881
GAT,1,2,128,2,4,0.3,0.0005,0.0005,0.582551103643912,0.36465865503386424,0.8317323496110157,1.6602992561208711,1.2885260013367488,0.5818845872899927,0.3641343165031177,0.8332115899683468,1.6634039444850255,1.289730182823146,0.5845914093698257,0.3656821052056775,0.8274276809194506,1.6514658614980033,1.2850937170097765
GAT,2,0,128,2,4,0.3,0.001,0.0,0.642897146196552,0.4285417193109364,0.7138891594428752,1.4274617707217299,1.1947643159727068,0.6226442658875091,0.4151571672988677,0.7541271000730461,1.5076698319941564,1.2278720747676268,0.6210846189808321,0.4141255274328337,0.7569541841982235,1.5130317905563346,1.230053572230224
GAT,2,1,128,2,4,0.3,0.001,0.0,0.5278927632219733,0.26613105550931976,0.9424734586539398,1.8832059024057661,1.372299494427425,0.5265644022400779,0.26444346476751607,0.9449719990260531,1.8880448015583151,1.3740614256860262,0.5272907900888265,0.26514033147820454,0.9440158952781673,1.8866292660121553,1.3735462373040652
GAT,2,2,128,2,4,0.3,0.001,0.0,0.650863800723182,0.43390611886761105,0.6981750003043695,1.3962526023594726,1.1816313309824993,0.6261991721451181,0.41744947887750383,0.7473581689797906,1.494472851229608,1.2224863398948913,0.6293367098470829,0.41957417586932894,0.7409175026784844,1.4814259277296191,1.217138417654138
GAT,3,0,128,2,4,0.3,0.001,0.0005,0.5755454368364663,0.3674946569594603,0.845512321028538,1.6876278367585469,1.2990873091361284,0.5728755782809837,0.3657809580150664,0.8506939371804236,1.6978329681032385,1.3030091972443012,0.5755415303101138,0.36693720722027384,0.8453911485117657,1.6872565061555245,1.2989443814711716
GAT,3,1,128,2,4,0.3,0.001,0.0005,0.5476404986851077,0.34523956078782597,0.9021987922470049,1.8018773741112302,1.342340260184142,0.5479912344777209,0.3463198192514036,0.9017774531288045,1.8013148283418554,1.3421307046416364,0.5432834657939847,0.34179047505929167,0.9111150070126227,1.8199119526258376,1.3490411234005573
GAT,3,2,128,2,4,0.3,0.001,0.0005,0.5962842567904842,0.3910668884155762,0.806420979582892,1.6118314523296444,1.2695792422411625,0.592354516678841,0.38834774626754637,0.8143657170684198,1.6278061845629412,1.2758550797653083,0.5943313528781533,0.3893437229458609,0.8103243401188273,1.6196357261127885,1.2726490977927845
GAT,4,0,128,2,4,0.5,0.0005,0.0,0.5332132073633973,0.27919050484075264,0.9308342261614883,1.8589290932112594,1.3634254996923225,0.5367421475529583,0.2834248791605613,0.9241782322863404,1.846018991964938,1.3586828150694106,0.5339333021661212,0.28066359936198143,0.9289971949509116,1.8548581891849774,1.3619317858046258
GAT,4,1,128,2,4,0.5,0.0005,0.0,0.5129054251485341,0.24218677064520908,0.9718515632609331,1.9413655400798675,1.393328941808024,0.5124421719016313,0.24130477753846832,0.9726320915510105,1.9427806184562941,1.3938366541515164,0.5127980364656382,0.2425784765726091,0.9718910705937354,1.9412692847124824,1.3932943998712126
GAT,4,2,128,2,4,0.5,0.0005,0.0,0.5371878690480538,0.28954687665798584,0.923639772575088,1.8452950558213717,1.3584163779273908,0.5384465546627709,0.29026042139586417,0.9214024835646457,1.841100560019479,1.3568716077873688,0.5363981688906204,0.28964849239655655,0.9252361936300769,1.8485049186714717,1.3595973369610106
GAT,5,0,128,2,4,0.5,0.0005,0.0005,0.5629687347813382,0.3386401853287511,0.8717127690659394,1.7410757767604947,1.319498304947943,0.5636717798879961,0.3392788373866391,0.8700754808862917,1.7375700024348673,1.3181691858160194,0.5628603708898239,0.33908677988554087,0.8717079632226897,1.740844631447717,1.3194107137080997
GAT,5,1,128,2,4,0.5,0.0005,0.0005,0.6011736631927534,0.398417675265867,0.7960212330768481,1.5904110256160515,1.2611149930185002,0.5990747504261018,0.3968504446677151,0.7995617238860482,1.5968346725103482,1.2636592390792496,0.5981961976001247,0.39636062702965624,0.8019713261648745,1.602306373694873,1.2658224100144826
GAT,5,2,128,2,4,0.5,0.0005,0.0005,0.5328658217368543,0.2829945108541649,0.9324421393525452,1.863058061531344,1.364938849008022,0.5328950572193816,0.28323874435652135,0.9323106890674459,1.8627221816411006,1.3648158050231909,0.5336904645953053,0.28302244207393346,0.9308074413168403,1.8598032531411317,1.3637460368929148
GAT,6,0,128,2,4,0.5,0.001,0.0,0.6476575435862472,0.43180658785689713,0.7045022888867245,1.4088219538326678,1.1869380581280002,0.6253226199172145,0.4169972318043616,0.7486242999756513,1.496518139761383,1.2233225820532305,0.6299477949197444,0.420065863574792,0.7395979429640018,1.4786894187314945,1.2160137411770866
GAT,6,1,128,2,4,0.5,0.001,0.0,0.5283797603973897,0.26743395600600733,0.940281971364566,1.8776054348884776,1.370257433801575,0.5283175066958851,0.2688089092428867,0.9397126856586316,1.875773070367665,1.369588650057989,0.5283816425120773,0.2676303288937187,0.940275829827022,1.8775907745052205,1.3702520842915076
GAT,6,2,128,2,4,0.5,0.001,0.0,0.5523332968089899,0.3119754038435332,0.8928984501503585,1.7833619440690553,1.3354257538586918,0.5526661796932067,0.3126331687292097,0.8920866812758704,1.781592403214025,1.3347630513368374,0.5516509204246616,0.31114193499587894,0.8941852537255284,1.7858576020259083,1.3363598325398396
GAT,7,0,128,2,4,0.5,0.001,0.0005,0.619679555858576,0.41297332739736087,0.760019966884192,1.5194190123697282,1.2326471564765515,0.6222059897735573,0.41469465827823165,0.7547114682249817,1.5085463842220599,1.2282289624585718,0.6187081190587502,0.4123643445261234,0.7620188561633162,1.523472806607449,1.2342904061068647
GAT,7,1,128,2,4,0.5,0.001,0.0005,0.6023424564137528,0.4014914750359157,0.794231518457193,1.5873794681990845,1.2599124843413072,0.6003408814219625,0.40007149642292755,0.7985390796201607,1.5962990017044072,1.2634472690636547,0.5991117344553529,0.3993138150044084,0.8005882811282531,1.5999883122954652,1.264906444088046
GAT,7,2,128,2,4,0.5,0.001,0.0005,0.5881636777578924,0.37646403643871196,0.8220777481524769,1.6425605999732156,1.2816242038808472,0.5900657414170928,0.3780713296164129,0.8179693206720233,1.6340394448502558,1.2782955232849154,0.5887406253043732,0.3766685238735589,0.8207265997857213,1.6396610499659101,1.2804925028932852
